video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=RtWgbht6qe8&pp=ygUHZnVqaXNhbg%3D%3D,/@TheJazzHopCafe,The Jazz Hop Café,fujisan. 🗻 japan lofi vibes,740K,1 year,chill vibes for the long road to mount fuji. 00:00 Tophat Panda - Divine Soul 04:01 greenface - Breath of Life 06:24 Yoann Garel ...,2024-01-26 21:44:52.988691
/watch?v=6mrkiWePsQw&pp=ygUHZnVqaXNhbg%3D%3D,/@cyprien,Cyprien,Fujisan (short film),1.9M,1 year,"Please look at the BTS : https://www.youtube.com/watch?v=Nwt9shO0aXk
To see the first part, Minori : https://www.youtube.com ...",2024-01-26 21:44:53.003369
/watch?v=QZQaO3VNL3o&pp=ygUHZnVqaXNhbg%3D%3D,/@japanguide,japan-guide.com,Top 5 Things to do Around Fuji | japan-guide.com,891K,6 years,- Video Credits - Videographer & Narrator: Andrew Marston Producer: Stefan Schauwecker Intro Music: Tony Uhm.,2024-01-26 21:44:53.024417
/watch?v=hMdaEJo2wLQ&pp=ygUHZnVqaXNhbg%3D%3D,/@showka7785,Showka,【富士山】ふじさん＊Fujisan ＊Mount Fuji＊Japanese song＊,15K,4 years,"I'm not good at English, so I can't translate well. I hope this helps your imagination of this song. Mount Fuji Put the head over the ...",2024-01-26 21:44:53.037211
/watch?v=qyhbqYY7W6A&pp=ygUHZnVqaXNhbg%3D%3D,/@UNESCO,UNESCO,"Fujisan, sacred place and source of artistic inspiration (Japan) / TBS",403,11 months,"The beauty of the solitary, often snow-capped, stratovolcano, known around the world as Mount Fuji, rising above villages and ...",2024-01-26 21:44:53.039264
/watch?v=KIri-Vqo2Ds&pp=ygUHZnVqaXNhbg%3D%3D,/channel/UCkGOJOmBDZlxptHmaO-NP5Q,HatoBito,HatoBito - Fuji-San [ Official MV ],395K,7 months,HatoBito - Fuji-San : : CEO & HatoBito Producer - Patara Vijjupanont HatoBito Executive Producer - Kanyanan Sirichawarojkul ...,2024-01-26 21:44:53.045902
/watch?v=Qx_8O30pRoQ&pp=ygUHZnVqaXNhbg%3D%3D,/@SamandVictor,Sam and Victor,a day trip around mount fuji 🗻,186K,2 months,"exploring the lesser known side of mt.fuji at fujinomiya, shizuoka! 富士宮市 please turn on subtitles/subtítulos/字幕/ ...",2024-01-26 21:44:53.052362
/watch?v=jSSSKYYsyxw&pp=ygUHZnVqaXNhbg%3D%3D,/@JeppPadilla,Jepp Padilla,Trip To Fuji: Finding Naruto,19,1 day,The skies were clear and the weather was perfect. Fujisan showed me all of her beauty on my last day there. I decided to climb ...,2024-01-26 21:44:53.061842
/watch?v=OhxswpJl9OI&pp=ygUHZnVqaXNhbg%3D%3D,/@butories8280,Butories,Hello Fujisan~ | Japan 2024 🇯🇵 ep.1,11K,10 days,สวัสดีค่า Japan 2024 เป็นการไปเที่ยวญี่ปุ่นช่วงปีใหม่ของครอบครัวเรา 5 คน ep.1 คลิปนี้จะพาทุกคนไปเที่ยวฟูจิซังที่จังหวัด yamanashi ...,2024-01-26 21:44:53.063526
/watch?v=0Sb5ZoScl0k&pp=ygUHZnVqaXNhbg%3D%3D,/@jtcmawlamyine5595,JTC Mawlamyine,Mount Fuji 【Fujisan】ဖူဂျီတောင်အကြောင်း။,10K,2 years,Mountain Fuji 【Fujisan】ဖူဂျီတောင်အကြောင်း။ အရမ်းလှတဲ့ ...,2024-01-26 21:44:53.066487
/watch?v=8VVDXlsM8tU&pp=ygUHZnVqaXNhbg%3D%3D,/@tanyanyanya,tanyanyanya,"JAPAN VLOG 🗻 gorgeous views of Fujisan, Tokyo streets, strawberry sandwich, etc",367,7 months,I've never seen anything more beautiful. Etsy - https://www.etsy.com/shop/tttartshop.,2024-01-26 21:44:53.077278
/watch?v=sILzWlqMvEk&pp=ygUHZnVqaXNhbg%3D%3D,/@lofieveryday364,Lofi Everyday ,Fujisan. 🗻 Japanese Lofi Vibes [ chill lo-fi hip hop beats ],2.9K,Streamed 8 months,"#lofi #lofieveryday #lofihiphop Fujisan. Japanese Lofi Vibes [ chill lo-fi hip hop beats ] Hello everyone. So, I choose the best lofi ...",2024-01-26 21:44:53.080222
/watch?v=xhdbST-TsU8&pp=ygUHZnVqaXNhbg%3D%3D,/@JapanTraveler0000,Japan Traveler Tetsu,Riding Japan's Amazing Luxurious Express Train / Fujisan View Express,2.7K,1 year,"I rode the sweets plan of the tourist train ""Fujisan View Express"" where you can see Mt.Fuji. It is a short train journey of about 1 ...",2024-01-26 21:44:53.082973
/watch?v=cooYDDSo8iA&pp=ygUHZnVqaXNhbg%3D%3D,/@TokyoStreetView,TokyoStreetView - Japan The Beautiful,Fujisan Kaizan climbing ceremony - Murayamasengen Shrine - Shizuoka 4K,3.6K,2 years,"Every year, around Mt Fuji, shrines celebrate the beginning of the Mt Fuji climbing route season. Mt. Fuji is both a majestic natural ...",2024-01-26 21:44:53.092146
/watch?v=4AncXONdJEs&pp=ygUHZnVqaXNhbg%3D%3D,/@namasteworld3919,Namaste World,Fly over Mount Fuji 富士山. Mount Fuji summit view. Fujisan Japan.,370,1 year,"Fly over Mount Fuji 富士山. Mount Fuji summit view. Fujisan Japan. Mount Fuji 富士山 Fujisan, Fugaku, located on the island of ...",2024-01-26 21:44:53.094383
/watch?v=99328onZF9E&pp=ygUHZnVqaXNhbg%3D%3D,/@GoAloneAround,Go Alone Around,Fujisan Roadtrip : Japan | Go Alone Around,118,1 day,Fujisan Roadtrip ขับรถหามุมถ่ายรูปภูเขาไฟฟูจิแบบรอบทิศทาง จะสมหวังดังใจ หรือต้องกลับมาแก้มือใหม่ ตามไปดูพร้อมกันในคลิปนี้เลย ...,2024-01-26 21:44:53.096162
/watch?v=Nwt9shO0aXk&pp=ygUHZnVqaXNhbg%3D%3D,/@cyprien,Cyprien,Vous n'avez pas vu ça (making of Fujisan),1.5M,1 year,Image Japon : Christophe Barachet Image Paris : David Montage : Edmond Noël Mix son : Clément Maurin Étalonnage : Florian ...,2024-01-26 21:44:59.973761
